ssGSEA score
A1BG 0.246854258971602
A1BG-AS1 0.349558909019889
A2M 0.819720800103433
A2ML1 0.915633794614373
A2MP1 0.613884249366402
AAAS 0.00973017660379391
AACS 0.404561181594401
AAGAB 0.988681370172431
AAK1 0.71762480229324
AAMP 0.0307554712578363
AARS 0.0135573928147379
AARS2 0.385855171993706
AARSD1 0.576256370764207
AASDH 0.773330711626673
AASDHPPT 0.017397615227408
AASS 0.674149401790898
AATF 0.639908292079773
ABAT 0.0993669349104205
ABCA1 0.412827842817222
ABCA10 0.942945905236696
ABCA11P 0.209275411957933
ABCA13 0.564354215989635
ABCA2 0.419691428423008
ABCA3 0.656091963436115
ABCA5 0.845416743724038
ABCA6 0.500084582292103
ABCA7 0.0849878529619477
ABCA9 0.830464216907234
ABCB1 0.135633767926367
ABCB10 0.520614959884773
ABCB5 0.611123450742832
ABCB6 0.935237606762725
ABCB7 0.958610512699726
ABCB8 0.00384676764850597
ABCB9 0.701898154332676
ABCC1 0.0168956644379917
ABCC10 0.184790490079474
ABCC13 0.0136479782112662
ABCC2 0.100042485594834
ABCC4 0.909291029090047
ABCC5 0.133668185482583
ABCC6 0.171475470086303
ABCC9 0.347108199693573
ABCD1 0.0469747473936988
ABCD2 0.602135773661868
ABCD3 0.0965690796145824
ABCD4 0.069288180976169
ABCE1 0.0877773991127761
ABCF1 0.304354398193406
ABCF2 0.0891287268835231
ABCF3 0.591208910815078
ABCG1 0.24625631928769
ABCG2 0.799752068983658
ABHD1 0.763512598736666
ABHD10 0.46261371985177
ABHD11 0.666905466880456
ABHD12 0.288255757942921
ABHD13 0.000472132121701645
ABHD14A 0.00203837707888822
ABHD14B 0.130637985924248
ABHD15 0.0487052513299355
ABHD16A 0.51365440213425
ABHD16B 0.000529277930904477
ABHD2 0.365904596214882
ABHD3 0.795871135469514
ABHD4 0.077293615361431
ABHD5 0.0436454270884104
ABHD6 0.207191898798241
ABHD8 0.0689639741633648
ABI1 0.216041215329922
ABI2 0.983332031982378
ABI3 0.254533734152887
ABI3BP 0.0484154525841718
ABL1 0.133089881082549
ABL2 0.499670458008147
ABLIM1 0.0350806311561796
ABLIM2 0.755325183957155
ABR 0.0424500588825183
ABRA 0.673332616910276
ABT1 0.461320023337622
ABTB1 0.00224276064525164
ABTB2 0.0845062756809152
ACAA1 0.0043410453845559
ACAA2 0.106076788166694
ACACA 0.587080420286577
ACACB 0.706045776941048
ACAD10 0.0752205632813376
ACAD11 0.849870512176276
ACAD8 0.319580647875389
ACAD9 0.046549498189058
ACADM 0.240743241254441
ACADS 0.0143814279936024
ACADSB 0.78422260972682
ACADVL 0.0278859772206295
ACAN 0.40208549229868
ACAP1 0.0179341593851729
ACAP2 0.949478028890504
ACAP3 0.00296637897660432
ACAT1 0.507201979023637
ACAT2 0.0306139201040723
ACBD3 0.462494647188065
ACBD4 0.247529773743098
ACBD5 0.527968606215074
ACBD7 0.284609241360769
ACCS 0.915392354078946
ACD 0.098272951108431
ACE 0.182911671470243
ACER1 0.44223487166928
ACER2 0.085916992136397
ACER3 0.113755641067522
ACIN1 0.321348963114959
ACLY 0.0678338308375821
ACN9 0.696166715350191
ACO1 0.328697295131769
ACO2 0.0205279824373894
ACOT1 0.814281104164151
ACOT11 0.794799651186235
ACOT13 0.0517330670506226
ACOT2 0.275845998927438
ACOT4 0.127252231401949
ACOT7 0.00144984467708265
ACOT8 0.00677043349000512
ACOT9 0.426600170361254
ACOX1 0.340619608380665
ACOX3 0.0357717613499976
ACP1 0.558637148872588
ACP2 0.0295712224556603
ACP5 0.0151721513832723
ACP6 0.176170036574713
ACPT 0.169375554064651
ACRBP 0.0158852521591691
ACRC 0.223787593312009
ACSF2 0.913047598364483
ACSF3 0.000527347636719681
ACSL1 0.419645711082492
ACSL3 0.896424259615326
ACSL4 0.803877598023756
ACSL5 0.824362160648254
ACSL6 0.735690190712213
ACSM1 0.944281959350996
ACSM3 0.0436748909630162
ACSS1 0.00426188979459648
ACSS2 0.438127597911208
ACTA1 0.990586114828037
ACTA2 0.180273692686189
ACTB 0.000739621284770366
ACTG1 0.00417577596544024
ACTG2 0.408783942654322
ACTL10 0.0526576659544356
ACTL6A 0.3051154966921
ACTL7A 0.809214889167688
ACTN1 0.0851384095399801
ACTN4 0.123966910406943
ACTR10 0.0860295526807552
ACTR1A 0.432836275163201
ACTR1B 0.0141483617908023
ACTR2 0.392780959146094
ACTR3 0.695816226020522
ACTR3B 0.00315565643619735
ACTR3C 0.0364897399740122
ACTR5 0.407617749163499
ACTR6 0.162098053646042
ACTR8 0.328944164241405
ACVR1 0.000125068267025724
ACVR1B 0.121373847335532
ACVR1C 0.00689634242455355
ACVR2A 0.117146532861235
ACVR2B 0.483098335342685
ACY1 0.877445975941798
ACY3 0.766782402112464
ACYP1 0.170993093458253
ACYP2 0.226959412897114
ADA 0.00288260755103002
ADAL 0.815727963087901
ADAM10 0.258469893200401
ADAM12 0.01680057686166
ADAM15 0.00451698705757801
ADAM17 0.12126801058319
ADAM19 0.139972733262289
ADAM20 0.522344436153543
ADAM22 0.601484870446753
ADAM23 0.0183566539839172
ADAM28 0.294494004953873
ADAM8 0.00525796591797725
ADAM9 0.662561229022878
ADAMTS10 0.185488796680702
ADAMTS13 0.667224302383544
ADAMTS16 0.840917862435669
ADAMTS17 0.42340174844301
ADAMTS4 0.918736183220347
ADAMTS6 0.510800167241941
ADAMTSL2 0.893876779129768
ADAMTSL4 0.243848530383476
ADAMTSL5 0.659486331122379
ADAP1 0.940420201335901
ADAP2 0.461457623152772
ADAR 0.812158718855273
ADARB1 0.214723367046644
ADARB2 0.396628260140941
ADAT1 0.736419243864414
ADAT2 0.648863090068749
ADAT3 0.0280823984813067
ADCK1 0.702795796355687
ADCK2 0.113591498424148
ADCK3 0.358839556477597
ADCK4 0.0574153338116488
ADCK5 0.0471630855740974
ADCY1 0.858315544868319
ADCY2 0.701089229956814
ADCY3 0.212166171313869
ADCY4 0.31630764705366
ADCY5 0.834098129536045
ADCY6 0.379760805740288
ADCY7 0.0226408444768055
ADCY9 0.719586146208302
ADD1 0.00102125912361565
ADD3 0.966732231489327
ADH5 0.876637438541392
ADH6 0.771903056792255
ADHFE1 0.853709604821539
ADI1 0.00536997925312181
ADIPOQ 0.643309916920121
ADIPOR1 0.797177456881113
ADIPOR2 0.0432324247331751
ADK 0.0442335813685244
ADM2 0.906722323756943
ADNP 0.45233360909343
ADNP2 0.741180899342224
ADO 0.0731779463177384
ADORA2A 0.102308574006679
ADORA2B 0.132355171576046
ADPGK 0.211397717475949
ADPRH 0.210001892329464
ADPRHL2 0.036695286498218
ADRA1A 0.950920873509149
ADRB2 0.583092238193876
ADRBK1 0.00450901032373746
ADRBK2 0.264855639697143
ADRM1 0.211725353184335
ADSL 0.00452666159543377
ADSS 0.929230850698804
ADSSL1 0.575631769581082
ADTRP 0.819807175954818
AEBP1 0.333195245898354
AEBP2 0.0533599980785365
AEN 0.0394656021265836
AES 0.000483600295682058
AFAP1 0.781143349110776
AFAP1-AS1 0.580846605416151
AFAP1L2 0.00236391562616704
AFF1 0.376867025761215
AFF2 0.28190094476876
AFF3 0.150566917702382
AFF4 0.215521754512069
AFG3L1P 0.269187598848659
AFG3L2 0.813598758573016
AFMID 0.451837662223656
AFTPH 0.188508222850858
AGA 0.739029127702663
AGAP1 0.572041181800875
AGAP11 0.555484379933167
AGAP2 0.158960411653866
AGAP3 0.636866127766317
AGAP4 0.71817881681295
AGAP5 0.503806538296608
AGAP6 0.757120635346284
AGBL2 0.300513881866719
AGBL3 0.0790097801123418
AGBL5 0.930434431708661
AGER 0.889873276379182
AGFG1 0.84585156004818
AGFG2 0.000130893865905417
AGGF1 0.467850521983925
AGK 0.334073226311176
AGL 0.00670299252882777
AGMAT 0.268270137466816
AGMO 0.460167763932196
AGPAT1 0.0258120903671648
AGPAT2 0.010001918662027
AGPAT3 0.0298796920647575
AGPAT4 7.90417545387845e-05
AGPAT4-IT1 0.230775850319171
AGPAT5 0.420233619324772
AGPAT6 0.506299622703511
AGPAT9 0.0622075826646286
AGPS 0.45571504236911
AGRP 0.910966957600393
AGTPBP1 0.737068626538697
AGTRAP 0.208151841661306
AHCTF1 0.0563854360881985
AHCY 0.00128876543123659
AHCYL1 0.0198251218066188
AHCYL2 0.0586424006446498
AHDC1 0.167376774917206
AHI1 0.50844850275394
AHNAK 0.00271875273469014
AHR 0.0428658064159523
AHRR 0.801271054679217
AHSA1 0.590869742475551
AHSA2 0.423368851955777
AICDA 0.488999148804257
AIDA 0.354949495342121
AIF1 0.946071966196082
AIFM1 0.0628880163081075
AIFM2 0.895405241878605
AIG1 0.167201184340764
AIM1 0.681836276063786
AIM1L 0.335641522100121
AIM2 0.349003446107516
AIMP1 0.054424320335342
AIMP2 0.00500460869413971
AIP 0.122866993082039
AIPL1 0.451438710829259
AIRE 0.322847252154558
AJUBA 0.121403560393285
AK1 0.701202486614252
AK2 0.0122643938408179
AK3 0.0593306550921084
AK4 0.180267174775564
AK5 0.948898937339828
AKAP1 0.0653606242750035
AKAP10 0.354406807754347
AKAP11 0.999875716689591
AKAP12 0.0208896108043548
AKAP13 0.547586319738164
AKAP14 0.262936540404274
AKAP2 0.949637735580645
AKAP3 0.889027424627536
AKAP5 0.340822954304117
AKAP6 0.190344887569138
AKAP7 0.752081592404034
AKAP8 0.69063450415258
AKAP8L 0.00448491335465049
AKAP9 0.311137324175547
AKIP1 0.238119865704239
AKIRIN1 0.0175696917886377
AKIRIN2 0.000727749118764291
AKNA 0.0522266708207137
AKR1A1 0.0217229789658079
AKR1B1 0.00215407507146115
AKR1B10 0.570408668430871
AKR1C3 0.283963410457035
AKR1C4 0.285342778143326
AKR1D1 0.635610307620746
AKR1E2 0.119072616587345
AKR7A2 0.00886414510091896
AKR7A3 0.920538102062709
AKR7L 0.498776315197581
AKT1 0.00925344840863414
AKT1S1 0.0465156538408025
AKT2 0.374732847523343
AKT3 0.676215737463338
AKTIP 0.578654931908026
ALAD 0.293225590914104
ALAS1 0.255469568481334
ALAS2 0.831777403479792
ALCAM 0.00779115912538753
ALDH16A1 0.000660283320661403
ALDH18A1 0.0373290269198944
ALDH1A1 0.155839232482756
ALDH1B1 0.10173132000567
ALDH1L2 0.231734972556127
ALDH2 0.202021236071175
ALDH3A2 0.133095482994832
ALDH3B1 0.336701187577224
ALDH4A1 0.0170109348255109
ALDH5A1 0.923549091619631
ALDH6A1 0.749040829086089
ALDH7A1 0.47712999847296
ALDH8A1 0.0780652555502923
ALDH9A1 0.406702288658685
ALDOA 0.116032111164857
ALDOC 0.0101713238277359
ALG1 0.00255739152298227
ALG10 0.0202890254152804
ALG10B 0.274118225584156
ALG11 0.121985399946414
ALG12 0.472163828984618
ALG13 0.605642845247325
ALG14 0.00679773489124308
ALG1L 0.289244584801397
ALG1L2 0.190176776987801
ALG2 0.559205655912302
ALG3 0.0879641793821104
ALG5 0.483234319447277
ALG6 0.753107521033755
ALG8 0.433802643451236
ALG9 0.0216153132058971
ALK 0.0536094052073386
ALKBH1 0.40488248531398
ALKBH2 0.000157669541929969
ALKBH3 0.217886406804683
ALKBH4 0.430666348089397
ALKBH5 0.632124861443495
ALKBH6 0.095833809966895
ALKBH7 0.206640703112475
ALKBH8 0.711924163027434
ALMS1 0.70426219472566
ALMS1P 0.300292763812493
ALOX12 0.800951313502713
ALOX12P2 0.483638606884587
ALOX15 0.433388381667717
ALOX5 0.251835192781335
ALOX5AP 0.0337010738366436
ALOXE3 0.530850105469497
ALPK1 0.45812308935268
ALPK2 0.196281709499094
ALPK3 0.815610452968663
ALPP 0.301047853100966
ALS2 0.57030847885476
ALS2CL 0.898891037083301
ALS2CR11 0.666921903558532
ALS2CR12 0.735692614474057
ALX3 0.823933066829154
ALYREF 0.0258894108052109
AMACR 0.877924577288211
AMBRA1 0.947734111989667
AMD1 0.00716328656507023
AMDHD1 0.944278682039719
AMDHD2 0.000298805068713929
AMFR 0.72957179854939
AMICA1 0.0494993224175676
AMIGO1 0.612116581627889
AMIGO2 0.000623741631724899
AMIGO3 0.311751837676629
AMMECR1 0.832772124954214
AMMECR1L 0.0741682225875362
AMN 0.0341296321808473
AMN1 0.0359906788489953
AMOT 0.891075109515832
AMOTL1 0.28902987801662
AMPD2 0.47297071973968
AMPD3 0.768751893857971
AMPH 0.609461157708488
AMT 0.980420566075494
AMY2B 0.807664101186349
AMZ1 0.0981266464805695
AMZ2 0.135979561940598
AMZ2P1 0.0552198635933202
ANAPC1 0.601057982825208
ANAPC10 0.578541581227157
ANAPC11 0.000474145991743549
ANAPC13 0.705699137380055
ANAPC16 0.125211542581916
ANAPC2 0.333650517158984
ANAPC4 0.550839469163477
ANAPC5 0.0807070102099885
ANAPC7 0.585189660632382
ANG 0.800922191568903
ANGEL1 0.377354976383532
ANGEL2 0.251566960973489
ANGPT2 0.0774914323806311
ANGPTL1 0.288816310604308
ANGPTL4 0.474160804806093
ANGPTL6 0.657144677945765
ANGPTL7 0.175398124836207
ANK1 0.213259033077309
ANK3 0.543243465987803
ANKAR 0.104430882880876
ANKDD1A 0.18583710474986
ANKFY1 0.31627664575978
ANKH 0.0408658331901924
ANKHD1 0.718646207939136
ANKHD1-EIF4EBP3 0.433810948913615
ANKIB1 0.539689386664056
ANKK1 0.915570270567573
ANKLE1 0.895314269128329
ANKLE2 0.191757926470935
ANKMY1 0.431183516287464
ANKMY2 0.320654227923102
ANKRA2 0.163456822749946
ANKRD10 0.932122462243594
ANKRD11 0.522273003410434
ANKRD12 0.0304636076302786
ANKRD13A 0.0216643365200888
ANKRD13B 0.456740007872031
ANKRD13C 0.480854950211378
ANKRD13D 0.0343848081051045
ANKRD16 0.209440528685011
ANKRD17 0.0665789248476985
ANKRD18A 0.433827024430895
ANKRD18B 0.21156935890405
