greenyellow black magenta green purple cyan brown pink blue turquoise grey
A1BG 0.163451467336311 0.409412497362167 0.515459955643945 0.00413217329846169 0.0343802086183898 0.00797614304575535 0.328181090127572 0.0156884180939886 0.00271938733865157 0.287130499675197 0.828143131030179
A1BG-AS1 0.0441122863880362 0.807068034875661 0.951728803807843 0.911457559032604 0.224611592967379 0.449338083099118 0.0589251073832255 0.309586853845515 0.0603732686828135 0.0465033092149641 0.456238587545014
A2M 0.117787009739516 0.204536662602077 0.338429875576401 0.787861990494559 0.00538234516736062 0.498335543966174 0.00493162313654276 0.234985206611889 0.0368032701720643 0.000633252253907027 0.0121645563138422
A2ML1 0.026945292053764 0.254692984943315 0.00132417343579564 0.00190178811983647 1.40822578949065e-05 0.902662240299195 0.937998703093253 0.0489622234478966 0.0151796723682457 0.240098401829872 0.200845258227046
A2MP1 0.0376480103944885 0.374297517003161 0.340600211351166 0.33986597304145 0.08301166257875 0.0439342534232636 0.00231185596964869 0.877585546325421 0.277550780287868 0.0117832896876139 0.0320442538519465
AAAS 0.0583743331536903 0.00955559174341764 0.184439634596433 0.515627634194026 0.0331940668805972 0.161462592997407 3.91162171196847e-05 0.00181227273239862 2.52520579387648e-06 3.61154393866522e-15 0.949387205113026
AACS 0.691011076177013 0.384461240297192 0.925069705938111 0.021004760964455 0.0782306978462911 0.00259562306669253 0.675111213229879 0.384865518633289 0.00232571757578984 0.259868893158661 0.609748499728534
AAGAB 0.000109968398311452 0.588351119023696 0.785675414444935 0.386877966332577 0.158308589755529 0.570527673064281 2.99023687217623e-07 0.854155652003183 0.000795586804320127 3.95047892846019e-07 0.266493414110891
AAK1 0.755294160454953 0.966896559693679 0.000733789495723291 0.286882336849304 1.98987056611302e-06 0.256141051241187 0.00617269525288996 0.127492952677101 0.020737996918437 0.00275563225682594 0.00741280566060788
AAMP 0.692077254619136 0.655265274316828 0.960241768184623 0.0289054739852057 9.32538084374974e-05 0.0201911435198902 0.0443898218213338 0.000219336338181165 2.83584012378101e-12 5.19126338718532e-08 0.300631749823934
AARS 0.00745090729955036 0.0170349522868588 0.193820482658733 0.216559894562672 0.0977480613226998 0.490491870632301 2.1095504649815e-07 0.0337973339662338 2.59599386080321e-05 1.14554609226785e-14 0.820734739238015
AARS2 0.967270639564718 0.767786203494194 0.029835863038928 0.020165363178099 1.41130922104846e-08 0.515410766023569 0.0040557232829529 0.000932089575613251 1.2714024988694e-08 1.16443585034569e-07 0.15483994663397
AARSD1 0.187239451128794 0.713679480434597 0.17596319410806 0.00116285039898384 6.94194548375764e-06 0.0288989582571281 0.723749979276266 0.000141862689160812 2.49465079104853e-06 0.00207007351534882 0.180662823177083
AASDH 0.0434808001463945 0.967579462523927 0.301198252146511 0.226275749595891 0.396942866376303 0.0697711657251516 5.83807159954399e-05 0.752111007835577 0.448783875815617 0.0281438920669969 0.207128116475356
AASDHPPT 0.00503603195723191 0.0074067712729567 0.160530106472788 0.685822910554933 0.562984540137594 0.179927921433459 0.0329081011285343 0.00647071491500051 0.875505870851046 0.87378714128299 0.376556960371381
AASS 0.404563917589059 0.550090132614773 0.0508307937306751 0.522460910448534 0.0094239384161126 0.440856726984691 0.0087690436585417 0.607483040019845 0.0782203341561055 0.0227573996183287 0.0127423463857288
AATF 0.367413888197099 0.374643378901166 0.550423055158265 0.00614828722336893 0.000330209849029341 0.000824641619115205 0.0747388839471833 0.00884098567556111 9.92252418339386e-13 6.26348755445446e-06 0.975987593887209
ABAT 0.718617193829743 0.360015529265079 0.0463785879110958 0.0452613809461122 0.000334922302067621 0.833181223750894 0.0250482208631371 0.00870907070421084 4.03408788457613e-05 0.000412869116262302 0.770961674231677
ABCA1 0.0250222458182027 0.886428830168762 0.502164468146538 0.596503565421083 0.992431118455313 0.973712811063032 0.0900823130377742 0.380081981327811 0.207568337288868 0.147992384590786 0.473553321246418
ABCA10 0.034145959860654 0.599474637980898 0.0725991723895782 0.429658110073737 0.0272825506470774 0.10886795348103 1.31260976348667e-05 0.373777591031636 0.0828354717397607 0.000788693928046634 0.589474771920313
ABCA11P 0.0566590174693425 0.447504603139745 0.13105642435111 0.00133013406643438 0.000613747407118441 0.0316138927730175 0.838829741527986 0.00126110050624972 0.000290530472300152 0.0559865777007238 0.789339152972464
ABCA13 0.809345503039037 0.711610551427513 0.18831149678243 0.548437592124947 0.0131002163955617 0.863493766221082 0.200389685965199 0.39777307485481 0.136372140036902 0.0649643161854023 0.0513115751291244
ABCA2 0.102997040348709 0.406034039288371 0.704436729659346 0.0123168790970935 0.000402268790512047 0.0714598874320196 0.214547667139152 0.0186453571954556 0.0102804406787641 0.108509660079441 0.000154651126993154
ABCA3 0.677200320981622 0.0168450691788992 0.369747816243736 0.529707476971847 0.198296363345209 0.9920134380915 0.380992414636867 0.161739013652984 0.241274114751222 0.0229921192928058 0.0577186131225993
ABCA5 0.578292855004223 0.422902810365338 8.40398008642919e-06 0.163747958204903 7.79293955330307e-07 0.0444772179809737 0.00581464507120456 0.0614866371423445 0.048766171621484 0.00978176469730698 0.0167750197623972
