greenyellow black magenta green purple cyan brown pink blue turquoise grey
A1BG 0.224636171140811 0.134094091297395 0.105899175316393 0.443715287101456 0.335382024259953 0.413632766092636 -0.158649986999564 0.379631291561628 0.461549617569165 0.172506796600017 0.0354368844581783
A1BG-AS1 -0.320009713244459 0.0398617020946873 0.00988479409850805 0.0181566169538227 0.196357180202486 0.123062710821486 0.301211970800104 -0.164781450575179 0.299585859949547 0.316661243744178 0.12121173778338
A2M -0.251291913861684 -0.204965807446665 0.155362850205556 -0.0439186814237241 0.431943372697797 -0.110229042344063 0.435883817602698 0.192115020620291 0.331251574904773 0.517148932693498 0.392820454892334
A2ML1 0.34975693778413 0.184393142606161 0.490168425242666 0.476077810631794 0.628503536240321 -0.0199684570901202 -0.0127012366749381 0.31335975129998 0.381369567976842 0.190070838601279 0.206612018581239
A2MP1 -0.329863859906436 -0.144315497183462 0.154674670122319 -0.154907182894805 0.277473974630924 -0.320264865574503 0.468223504210065 -0.0251480008317691 0.175921172997342 0.394435916281738 0.339596538089332
AAAS -0.301838785324556 -0.404879395660468 -0.214197130175768 -0.105857138405237 0.337491613282254 0.225674481703586 0.602380482837616 0.4779891547509 0.667651520868305 0.898604337873722 0.0103649022069669
AACS -0.0648374228438827 0.141301410188281 0.0153566559266171 0.363841584946214 0.281708575417093 0.463477957170883 -0.0683625640536266 0.141182496562466 0.467980108034748 0.182431989682908 0.0832047026039793
AAGAB -0.573389275382907 -0.0882054013196431 -0.0443821737552757 -0.140591646555147 0.22734023756545 0.0924326372994559 0.709362202442607 0.0300093668826603 0.509036097613009 0.704295722262767 0.179959449177439
AAK1 -0.0508596197011023 0.00677669276372592 0.511933629931356 0.172594304427934 0.672659574629428 -0.183841814873928 0.42567659542713 0.24505509762882 0.364548789251204 0.460999465980124 0.417118216815943
AAMP -0.0646020980842328 -0.0728063364981387 0.00814000564600429 0.345677031777399 0.578202254788829 0.366022649473728 0.319613615326938 0.552383454673442 0.85281282546207 0.738945914834169 0.167817670927397
AARS -0.416875414981559 -0.375249935308552 -0.209804317773284 -0.199743360914143 0.265512433932458 0.112237541413855 0.715562846177434 0.336411090845446 0.613145865340603 0.891911955627481 0.0369893025599838
AARS2 -0.00670007238158654 0.0481874817361571 0.343820094704957 0.366092952883445 0.758668344240573 0.105911508417002 0.444531701904007 0.503286498949192 0.760172871094736 0.725764301811027 0.229200256628296
AARSD1 0.212869803708751 0.0598611012278989 0.218305101994754 0.49508301429983 0.645291857938873 0.34569020931644 0.0576676872201243 0.56580447081221 0.667909720328744 0.472689695890097 0.216010506823346
AASDH -0.320918548724945 0.00663681922218125 0.167623903112401 -0.195667752527254 0.13766321474591 -0.289725286665159 0.591475650974378 -0.0515425920638427 0.123212037479236 0.347234168271068 0.203822483872994
AASDHPPT -0.434944038945924 0.417156769290812 0.226164488311379 -0.0659844094435836 -0.094239720616379 -0.216366489446964 0.338009454807737 -0.423492902729486 -0.0255785781610701 -0.0259345538703433 -0.143641309670912
AASS -0.135474351850498 0.0973550389818698 0.310939112401313 0.104149777698259 0.405559599019773 -0.125359071110702 0.409069235140458 0.0837305188381089 0.28171797140436 0.359373301986638 0.390452510992568
AATF -0.146384523088302 0.144212140481547 0.0972741756068593 0.425859449725362 0.539241785093642 0.507742493853386 0.284930950060322 0.408672916437981 0.861294146339017 0.647651177342396 0.00491500128805965
ABAT 0.0587843617999378 0.148634281696564 0.316832424427067 0.318382626915056 0.538776769132249 -0.034382923249558 0.353946784424957 0.409401754197232 0.601554955617644 0.531830930534874 -0.0475102274956728
ABCA1 0.354005955643356 0.0233189201854409 0.109254458140221 0.0862909268690901 -0.00154904121207247 -0.00538077208966669 -0.271546133044575 0.142594256035781 -0.203629255027333 -0.232963351174923 -0.116632501145186
ABCA10 -0.335793858051765 -0.0855960727774536 0.286964308965202 -0.128428738128297 0.349037845532087 -0.257374237548433 0.630217691339554 0.144470977596199 0.277626614174251 0.509349152856142 0.0879408368965404
ABCA11P 0.303821623796365 0.123557111296385 0.242854443217879 0.489997212520584 0.518245581172113 0.340400378588472 -0.0332028946444888 0.492023197940396 0.543412580520645 0.304612029968308 0.043605757437385
ABCA13 -0.0393822342415259 -0.0603130048212201 0.212365298388993 0.0977567668323189 0.389031218397514 -0.0280690105676486 0.206816648369111 0.137423597456137 0.239652966076979 0.29462765001559 0.310327880472408
ABCA2 0.261587427418067 -0.135054851495425 0.061883416515221 0.392187068379647 0.53270259347977 0.288066235178966 -0.200603134777866 0.370377645876221 0.401271874593938 0.257626344535802 0.563191282918742
ABCA3 -0.0678976677320727 -0.375849693104111 -0.145680440607279 -0.102351140351054 0.207761122702118 -0.00163452600849764 0.14232475836359 0.225529621404454 0.189604983006312 0.358796897764576 0.302591212829225
ABCA5 0.0905837349777522 0.130302020975461 0.640853503903315 0.224482169831592 0.691479861861821 -0.319489298995269 0.428424017434959 0.298356653570649 0.313618015501475 0.403729342396323 0.376072386948654
ABCA6 -0.103197956111621 0.195980578176226 0.444318891257965 -0.0440903723119218 0.228905298082078 -0.457367649572609 0.390401487160245 -0.100921247196064 -0.0123506130965267 0.122769220330072 -0.0159703531229731
ABCA7 0.0111696995418909 -0.276684370517222 0.145571737629475 0.119200037917323 0.606833264321032 0.0769118487590928 0.337982725407705 0.450916898384732 0.484780609396964 0.627164945612282 0.359708872080003
ABCA9 -0.0866849630228825 1.50570921743118e-05 0.2547359591653 0.125452537739657 0.412199617166051 -0.141353420154165 0.207774243680689 0.236632698664956 0.262131488196955 0.277787432827222 0.108559826364437
ABCB1 0.116704577556139 0.0292478122448397 0.173290823783026 -0.0075489302645747 0.101875361782335 -0.199116782858545 0.0273842123695174 -0.00638241657673415 -0.165974736629939 -0.0931509779208911 0.355474863196129
ABCB10 -0.0286451106388658 0.339128926844223 0.431938841124489 0.156574402417964 0.209596189066379 -0.231040412657392 0.231156007990525 -0.0530716300818616 0.101500076947134 0.0697973553461214 -0.0620065482335448
ABCB5 -0.14415178084214 -0.0572584897227911 0.0248688103143427 -0.0619295315203134 0.0639674548610359 -0.0446188262188475 0.135919139881107 0.0274928418745776 0.0672624424506765 0.138124567296653 -0.0847072674877571
ABCB6 -0.347888269562735 -0.101925798797713 -0.0740267326356008 -0.172457987222143 0.0176479052676762 -0.0166656033536748 0.349482598765289 -0.0650159274877893 0.188989994194596 0.299459822146361 -0.125765069496473
ABCB7 -0.114763717577967 0.289115867712824 0.460851019226253 0.164460152057334 0.389242482617932 -0.262264998720097 0.458746783101664 0.143774650014447 0.324211492046662 0.348010230493377 0.0796414063062496
ABCB8 -0.0320001811297151 -0.306611018233839 -0.0200905802063855 0.163429480653203 0.582994930424139 0.298248759779258 0.406092206242619 0.658610292634931 0.756229041377525 0.843021031783207 0.0949476126096734
ABCB9 -0.153922575150218 -0.0878486545576715 0.0198707050807993 0.0221943991158027 0.252442425818787 -0.0582961307351673 0.195901974973436 0.126435215884448 0.232391525109389 0.30352395001948 0.281143981268734
ABCC1 0.553278268709385 0.0533126949778379 0.318502292713617 0.620323745451491 0.720831699138109 0.16658642705944 -0.19508765346499 0.737281052127988 0.5661640636446 0.289542087534967 0.122248563936872
ABCC10 -0.160693260177801 -0.240936386178365 0.0100108914630161 0.115769464193802 0.571644523951725 0.169184352695122 0.501015041633169 0.451485708408342 0.697441631850833 0.818320994643835 0.297449796824785
ABCC13 0.0794528526686105 0.309542892534853 0.394457314072426 0.295408517813696 0.313119458005794 -0.0152231116116478 -0.0547409434349517 -0.0950271352376941 0.0692525393113448 -0.103896084544344 0.365523443414981
ABCC2 0.249129975197823 0.0359918426511147 0.158358458739205 0.322351780770078 0.338310868382419 0.105466325462033 -0.0802719565074086 0.496617059329733 0.339649269292036 0.197358484574382 -0.0709840638440477
ABCC4 -0.280840247652585 -0.177690256504787 0.23254444842476 -0.169333517573602 0.392391290411692 -0.313733365521884 0.622545890716976 0.139460084674314 0.247922088783376 0.548438430307175 0.0391653679324701
ABCC5 -0.389338277908703 -0.275911973462534 -0.020319049514164 -0.151041504957141 0.366038595468644 0.0522208647749192 0.71742327612122 0.205519200645413 0.539900936970522 0.822168860700579 0.176964284582774
ABCC6 0.113194198600102 0.0727301124386274 0.260868750806956 -0.0673356839244436 0.0582369423051993 -0.392688398940816 0.157431069329596 0.00418659693477647 -0.159284757890553 -0.0400773043614547 0.0234967039816169
ABCC9 0.33586053658418 0.10275634466293 0.340369973521283 0.321436790276505 0.42001090348273 -0.146882726921594 -0.0564509312505219 0.258834964767914 0.187885284978406 0.074373642872043 0.243542769887498
ABCD1 -0.0535911989299817 -0.404111964943315 -0.0795592046216915 -0.0630419444023226 0.408729525870287 0.016081841044767 0.4778702074071 0.500436431320685 0.497067483186967 0.749977992832408 0.280382594251724
ABCD2 -0.688617783206325 -0.436126615204037 -0.199300416337451 -0.690102910757795 -0.135523901185221 -0.358171172785765 0.860921326350543 -0.105228673710305 0.00257530431764012 0.578678304131899 -0.0945727031903924
ABCD3 -0.339933449370676 0.298775470843554 0.418936218264964 -0.0849295167332136 0.12922239117246 -0.398484295579411 0.529390725832822 -0.340870802491814 0.0208086994577938 0.146962776133265 0.0853978450132281
