dynamicColors	mergedColors
A1BG	red	blue
A1BG-AS1	turquoise	turquoise
A2M	turquoise	turquoise
A2ML1	purple	purple
A2MP1	turquoise	turquoise
AAAS	turquoise	turquoise
AACS	red	blue
AAGAB	turquoise	turquoise
AAK1	salmon	purple
AAMP	blue	blue
AARS	turquoise	turquoise
AARS2	salmon	purple
AARSD1	salmon	purple
AASDH	brown	brown
AASDHPPT	midnightblue	black
AASS	turquoise	turquoise
AATF	red	blue
ABAT	blue	blue
ABCA1	turquoise	turquoise
ABCA10	brown	brown
ABCA11P	red	blue
ABCA13	turquoise	turquoise
ABCA2	salmon	purple
ABCA3	turquoise	turquoise
ABCA5	purple	purple
ABCA6	tan	brown
ABCA7	turquoise	turquoise
ABCA9	grey	grey
ABCB1	grey	grey
ABCB10	magenta	magenta
ABCB5	grey	grey
ABCB6	brown	brown
ABCB7	brown	brown
ABCB8	turquoise	turquoise
ABCB9	turquoise	turquoise
ABCC1	pink	pink
ABCC10	turquoise	turquoise
ABCC13	magenta	magenta
ABCC2	pink	pink
ABCC4	turquoise	turquoise
ABCC5	turquoise	turquoise
ABCC6	cyan	cyan
ABCC9	purple	purple
ABCD1	turquoise	turquoise
ABCD2	brown	brown
ABCD3	tan	brown
ABCD4	blue	blue
ABCE1	midnightblue	black
ABCF1	red	blue
ABCF2	turquoise	turquoise
ABCF3	yellow	green
ABCG1	green	green
ABCG2	grey	grey
ABHD1	grey	grey
ABHD10	black	black
ABHD11	blue	blue
ABHD12	red	blue
ABHD13	black	black
ABHD14A	turquoise	turquoise
ABHD14B	turquoise	turquoise
ABHD15	turquoise	turquoise
ABHD16A	red	blue
ABHD16B	turquoise	turquoise
ABHD2	blue	blue
ABHD3	brown	brown
ABHD4	blue	blue
ABHD5	black	black
ABHD6	pink	pink
ABHD8	blue	blue
ABI1	black	black
ABI2	brown	brown
ABI3	turquoise	turquoise
ABI3BP	green	green
ABL1	salmon	purple
ABL2	grey	grey
ABLIM1	turquoise	turquoise
ABLIM2	turquoise	turquoise
ABR	salmon	purple
ABRA	turquoise	turquoise
ABT1	yellow	green
ABTB1	turquoise	turquoise
ABTB2	black	black
ACAA1	blue	blue
ACAA2	turquoise	turquoise
ACACA	purple	purple
ACACB	turquoise	turquoise
ACAD10	turquoise	turquoise
ACAD11	purple	purple
ACAD8	blue	blue
ACAD9	turquoise	turquoise
ACADM	brown	brown
ACADS	turquoise	turquoise
ACADSB	brown	brown
ACADVL	blue	blue
ACAN	grey	grey
ACAP1	blue	blue
ACAP2	brown	brown
ACAP3	pink	pink
ACAT1	brown	brown
ACAT2	turquoise	turquoise
ACBD3	green	green
ACBD4	turquoise	turquoise
ACBD5	green	green
ACBD7	green	green
ACCS	yellow	green
ACD	turquoise	turquoise
ACE	turquoise	turquoise
ACER1	blue	blue
ACER2	cyan	cyan
ACER3	turquoise	turquoise
ACIN1	yellow	green
ACLY	turquoise	turquoise
ACN9	brown	brown
ACO1	turquoise	turquoise
ACO2	blue	blue
ACOT1	grey	grey
ACOT11	turquoise	turquoise
ACOT13	tan	brown
ACOT2	red	blue
ACOT4	turquoise	turquoise
ACOT7	blue	blue
ACOT8	turquoise	turquoise
ACOT9	yellow	green
ACOX1	red	blue
ACOX3	turquoise	turquoise
ACP1	yellow	green
ACP2	blue	blue
ACP5	blue	blue
ACP6	turquoise	turquoise
ACPT	yellow	green
ACRBP	grey	grey
ACRC	purple	purple
ACSF2	turquoise	turquoise
ACSF3	turquoise	turquoise
ACSL1	grey	grey
ACSL3	magenta	magenta
ACSL4	black	black
ACSL5	brown	brown
ACSL6	brown	brown
ACSM1	grey	grey
ACSM3	greenyellow	greenyellow
ACSS1	pink	pink
ACSS2	turquoise	turquoise
ACTA1	grey	grey
ACTA2	turquoise	turquoise
ACTB	turquoise	turquoise
ACTG1	blue	blue
ACTG2	grey	grey
ACTL10	blue	blue
ACTL6A	brown	brown
ACTL7A	grey	grey
ACTN1	turquoise	turquoise
ACTN4	blue	blue
ACTR10	brown	brown
ACTR1A	red	blue
ACTR1B	blue	blue
ACTR2	tan	brown
ACTR3	brown	brown
ACTR3B	pink	pink
ACTR3C	turquoise	turquoise
ACTR5	yellow	green
ACTR6	tan	brown
ACTR8	turquoise	turquoise
ACVR1	pink	pink
ACVR1B	green	green
ACVR1C	grey	grey
ACVR2A	brown	brown
ACVR2B	turquoise	turquoise
ACY1	grey	grey
ACY3	grey	grey
ACYP1	turquoise	turquoise
ACYP2	turquoise	turquoise
ADA	blue	blue
ADAL	brown	brown
ADAM10	brown	brown
ADAM12	grey	grey
ADAM15	blue	blue
ADAM17	magenta	magenta
ADAM19	turquoise	turquoise
ADAM20	grey	grey
ADAM22	grey	grey
ADAM23	yellow	green
ADAM28	grey	grey
ADAM8	turquoise	turquoise
ADAM9	green	green
ADAMTS10	blue	blue
ADAMTS13	grey	grey
ADAMTS16	blue	blue
ADAMTS17	blue	blue
ADAMTS4	yellow	green
ADAMTS6	grey	grey
ADAMTSL2	green	green
ADAMTSL4	purple	purple
ADAMTSL5	salmon	purple
ADAP1	turquoise	turquoise
ADAP2	grey	grey
ADAR	red	blue
ADARB1	pink	pink
ADARB2	grey	grey
ADAT1	turquoise	turquoise
ADAT2	blue	blue
ADAT3	pink	pink
ADCK1	turquoise	turquoise
ADCK2	turquoise	turquoise
ADCK3	yellow	green
ADCK4	turquoise	turquoise
ADCK5	turquoise	turquoise
ADCY1	red	blue
ADCY2	purple	purple
ADCY3	midnightblue	black
ADCY4	blue	blue
ADCY5	grey	grey
ADCY6	green	green
ADCY7	turquoise	turquoise
ADCY9	grey	grey
ADD1	pink	pink
ADD3	brown	brown
ADH5	blue	blue
ADH6	grey	grey
ADHFE1	salmon	purple
ADI1	turquoise	turquoise
ADIPOQ	grey	grey
ADIPOR1	yellow	green
ADIPOR2	pink	pink
ADK	turquoise	turquoise
ADM2	purple	purple
ADNP	magenta	magenta
ADNP2	greenyellow	greenyellow
ADO	greenyellow	greenyellow
ADORA2A	blue	blue
ADORA2B	turquoise	turquoise
ADPGK	yellow	green
ADPRH	turquoise	turquoise
ADPRHL2	red	blue
ADRA1A	purple	purple
ADRB2	green	green
ADRBK1	pink	pink
ADRBK2	blue	blue
ADRM1	red	blue
ADSL	turquoise	turquoise
ADSS	cyan	cyan
ADSSL1	blue	blue
ADTRP	green	green
AEBP1	grey	grey
AEBP2	magenta	magenta
AEN	green	green
AES	pink	pink
AFAP1	blue	blue
AFAP1-AS1	grey	grey
AFAP1L2	turquoise	turquoise
AFF1	turquoise	turquoise
AFF2	grey	grey
AFF3	blue	blue
AFF4	yellow	green
AFG3L1P	purple	purple
AFG3L2	red	blue
AFMID	blue	blue
AFTPH	black	black
AGA	brown	brown
AGAP1	grey	grey
AGAP11	cyan	cyan
AGAP2	turquoise	turquoise
AGAP3	blue	blue
AGAP4	grey	grey
