logFC	AveExpr	t	P.Value	adj.P.Val	B	group	gene
HMGB2	-0.85631186129313	8.2249575594726	-7.56365819301712	3.75688158802339e-09	6.68649785036404e-05	10.0070390505739	down	HMGB2
THAP1	0.710029320321479	4.96317021631944	7.23121363299329	1.06059788316074e-08	9.4382605622474e-05	9.13633419661765	up	THAP1
ODC1	-0.932721633484229	7.36983251559398	-6.39486165621474	1.49420481869101e-07	0.000886461912102086	6.88999904147081	down	ODC1
SLC16A6	-0.937933202890587	3.49685596521826	-5.81064746587776	9.63290260489826e-07	0.00342892801123958	5.28782115492177	down	SLC16A6
ZNF627	-0.690769819820438	3.72934152441395	-5.74753360462625	1.17820923185961e-06	0.00349496131810621	5.11387093300648	down	ZNF627
DUSP5	-1.48043992433181	5.04892932413065	-5.58849879165739	1.95645258020813e-06	0.00497442043179204	4.67524168379703	down	DUSP5
RGS16	-1.76652453831	2.85404677664798	-5.2647448956653	5.47753241248118e-06	0.0108321246530378	3.78244114917874	down	RGS16
H1FX	-0.979018255696907	5.04886636913728	-5.07978946363863	9.83538092111772e-06	0.0175050109634053	3.2736772752634	down	H1FX
FAM84B	0.631115964943446	4.31003852926482	4.99216172190145	1.29658932862725e-05	0.0177513052853137	3.03325516478666	up	FAM84B
ZNF442	-0.724753977895067	0.852197717858938	-4.87120649617832	1.89636356598874e-05	0.022500985831645	2.7022674632499	down	ZNF442
PLEKHF1	-0.816326710886814	4.52734205659472	-4.82365673003585	2.20112279778422e-05	0.0243327944590032	2.57247525152484	down	PLEKHF1
ARRDC2	-0.925746627009719	5.69845369141103	-4.62408914217225	4.101609398363e-05	0.0342797329619541	2.03017595379233	down	ARRDC2
MTA1	-0.800505782308369	1.9801312507424	-4.61118932247727	4.26919345496706e-05	0.0342797329619541	1.99527595646634	down	MTA1
FRAT1	-0.823579752648593	2.58112885224471	-4.59927890683935	4.42990143906588e-05	0.0342797329619541	1.96307102370364	down	FRAT1
TNFSF14	-0.606593505330209	2.10177739270779	-4.46701071051301	6.66771320734567e-05	0.0456430614093609	1.60668551365372	down	TNFSF14
NR4A1	-1.14312032644337	1.13790890544667	-4.36920868151557	9.0048666786694e-05	0.0535195114880504	1.34479889398689	down	NR4A1
CATSPER3	0.662227567842486	0.943489684962299	4.368618773373	9.02115599866003e-05	0.0535195114880504	1.34322386667705	up	CATSPER3
CHRNB1	0.705693929887233	2.56418972594033	4.34408412527436	9.7248392057584e-05	0.0540883400575275	1.27776830930886	up	CHRNB1
ZSCAN21	-0.780588205057682	1.76228695336517	-4.32231878430135	0.000103939391805408	0.0545948267849208	1.21978535929	down	ZSCAN21
KLF11	-0.708620676873624	3.59502141830781	-4.3212040141205	0.000104293971833201	0.0545948267849208	1.21681777883822	down	KLF11
NAB1	-0.752568221627643	4.21885827054016	-4.27035184227192	0.00012179182382325	0.0585851589298973	1.08167708728682	down	NAB1
CD83	-0.883644445634013	4.16539360258101	-4.25052882708361	0.00012936488117449	0.0598738911263506	1.02912222054548	down	CD83
ZBTB45	-0.718807347165812	2.54166605698645	-4.21818851605553	0.000142719784895557	0.0602574064084875	0.943537317200057	down	ZBTB45
FIGNL1	0.598613817888215	2.74573738491905	4.2116437524539	0.000145582002223	0.0602574064084875	0.92624131330182	up	FIGNL1
RPS6KA4	-0.773442867614826	2.30025064483928	-4.16235109232984	0.000169017715944656	0.0652266368628296	0.796240788378694	down	RPS6KA4
AVPI1	-0.87372588949152	4.55423080517706	-4.15608889391847	0.000172246990254691	0.0652266368628296	0.779759686340184	down	AVPI1
DTL	-0.622633711569323	0.810473634065823	-4.14821388591307	0.000176393568642288	0.065405265306155	0.759045124753928	down	DTL
MYC	0.751587305151018	6.54627473302286	4.06339928592765	0.000227705733530732	0.0794648361839211	0.536761747184845	up	MYC
USF1	0.607513364199526	5.33002588184968	4.05015046764944	0.000236936774623798	0.0795660512217803	0.502177897389702	up	USF1
DUSP1	-0.718882168559457	10.0662248254482	-4.01424134986052	0.000263827418281357	0.0812487417450019	0.408639113479442	down	DUSP1
NFKBIA	-0.627991065440527	9.02581263473492	-4.01304473784669	0.000264772840836617	0.0812487417450019	0.405527089335512	down	NFKBIA
GPR132	-0.84854004414326	5.25524567334826	-3.9507321712241	0.000318833211409123	0.0915257015590252	0.24392928836934	down	GPR132
PIM3	-0.68856722566752	6.85675175122269	-3.89429176990191	0.000376954122022256	0.10037578458042	0.0983619187530831	down	PIM3
PFKFB3	-0.984422842923106	4.35171839477459	-3.88262014454311	0.000390196696266179	0.10037578458042	0.0683576995640278	down	PFKFB3
ARRDC3	-0.940999639145756	7.20888977305562	-3.86943987150952	0.000405693836238245	0.10037578458042	0.0345166457143371	down	ARRDC3
MED26	-0.765546049188625	2.4094898943733	-3.84069797654066	0.000441585987477537	0.100650225052689	-0.0391251300507811	down	MED26
LINC00239	-0.81278341810622	4.21534956308967	-3.83717000431977	0.000446198249852412	0.100650225052689	-0.0481496379447357	down	LINC00239
DOLK	0.592114955729629	3.59079377795687	3.81221490773126	0.00048018217970159	0.105509659683073	-0.111890855750884	up	DOLK
TIFA	0.616954890637229	5.53741479631376	3.79332021052646	0.000507567293568654	0.108839550493192	-0.160041967886977	up	TIFA
RND1	-0.650464936254572	0.86793680611469	-3.77024915400375	0.000543059508822338	0.113710272212	-0.218704890023194	down	RND1
C19orf73	0.738575202062611	2.05739824690682	3.70849097969728	0.000650284119925664	0.124701849940248	-0.375009560472393	up	C19orf73
TMEM119	-0.866448993484408	2.71216696416414	-3.70507525861142	0.000656776260949455	0.124701849940248	-0.383622847190734	down	TMEM119
PHF13	0.749347863672676	1.64875320894253	3.70411540307234	0.000658611860567665	0.124701849940248	-0.386042670481916	up	PHF13
SLC35F3	-0.633919556098002	0.633544501672135	-3.69150564645599	0.000683191161171654	0.126660794651386	-0.417807443839911	down	SLC35F3
MT1X	1.60684405062684	5.95470735630237	3.65247395349632	0.00076501263128425	0.133487204035265	-0.515835141166633	up	MT1X
KAT2A	-0.75033438069749	2.74356436676604	-3.64159313087488	0.000789456656212075	0.134025831636094	-0.543081397073122	down	KAT2A
CDKN1A	-1.80249317331078	3.64721785107896	-3.62078292017402	0.000838320074634427	0.138393506982794	-0.595091697366386	down	CDKN1A
MESDC1	-0.661165572515055	2.69384740995234	-3.62017711431815	0.000839785299142697	0.138393506982794	-0.59660379161638	down	MESDC1
