ID	description	GeneRatio	BgRatio	pValue	FDR	qvalue	geneID	size	DB	enrichmentRatio
hsa04978	hsa04978	Mineral absorption	7/68	58/7914	5.36293868022541e-07	7.40085537871107e-05	5.8145545690865e-05	MT1X/SLC30A1/MT1G/MT2A/MT1F/MT1E/MT1H	7	pathway_KEGG	0.102941176470588
hsa04657	hsa04657	IL-17 signaling pathway	7/68	93/7914	1.33314733137462e-05	0.000919871658648485	0.000722706184903081	NFKBIA/TNFAIP3/MAPK7/IFNG/TRAF4/CCL20/IL17RB	7	pathway_KEGG	0.102941176470588
hsa04010	hsa04010	MAPK signaling pathway	11/68	295/7914	3.68605993457212e-05	0.00169558756990318	0.001332154993898	DUSP5/NR4A1/RPS6KA4/MYC/DUSP1/DUSP2/MAPK7/GADD45A/GADD45B/MAP3K8/DUSP4	11	pathway_KEGG	0.161764705882353
hsa05222	hsa05222	Small cell lung cancer	6/68	92/7914	0.000128439933530873	0.00443117770681513	0.00348139819833683	MYC/NFKBIA/CDKN1A/GADD45A/GADD45B/TRAF4	6	pathway_KEGG	0.0882352941176471
hsa05216	hsa05216	Thyroid cancer	4/68	37/7914	0.000265958674393039	0.00734045941324788	0.00576710388683853	MYC/CDKN1A/GADD45A/GADD45B	4	pathway_KEGG	0.0588235294117647
hsa04668	hsa04668	TNF signaling pathway	6/68	112/7914	0.000376767791692047	0.00866565920891708	0.00680826009548787	RPS6KA4/NFKBIA/TNFAIP3/BCL3/MAP3K8/CCL20	6	pathway_KEGG	0.0882352941176471
hsa05220	hsa05220	Chronic myeloid leukemia	5/68	76/7914	0.000465221651916505	0.00917151256635396	0.00720568874396993	MYC/NFKBIA/CDKN1A/GADD45A/GADD45B	5	pathway_KEGG	0.0735294117647059
hsa05213	hsa05213	Endometrial cancer	4/68	58/7914	0.00149225912750411	0.0245908295506852	0.0193200262678915	MYC/CDKN1A/GADD45A/GADD45B	4	pathway_KEGG	0.0588235294117647
hsa05169	hsa05169	Epstein-Barr virus infection	7/68	201/7914	0.00160374975330556	0.0245908295506852	0.0193200262678915	MYC/NFKBIA/CDKN1A/TNFAIP3/GADD45A/GADD45B/NFKBIE	7	pathway_KEGG	0.102941176470588
hsa04660	hsa04660	T cell receptor signaling pathway	5/68	104/7914	0.00192474009608142	0.0265614133259236	0.0208682347259354	NFKBIA/PDCD1/IFNG/NFKBIE/MAP3K8	5	pathway_KEGG	0.0735294117647059
hsa04115	hsa04115	p53 signaling pathway	4/68	72/7914	0.00330735402672926	0.0414922596080579	0.0325988004548434	CDKN1A/GADD45A/RRM2/GADD45B	4	pathway_KEGG	0.0588235294117647
hsa05140	hsa05140	Leishmaniasis	4/68	76/7914	0.00402009138862164	0.0462310509691489	0.036321878335792	NFKBIA/IFNG/NCF2/MARCKSL1	4	pathway_KEGG	0.0588235294117647
GO:0071294	GO:0071294	cellular response to zinc ion	6/137	19/17913	4.48191275204349e-09	1.01111951686101e-05	9.35540314452866e-06	MT1X/MT1G/MT2A/MT1F/MT1E/MT1H	6	geneontology_Biological_Process	0.0437956204379562
GO:0010043	GO:0010043	response to zinc ion	6/137	44/17913	9.96731767636077e-07	0.00112431343389349	0.00104027320801176	MT1X/MT1G/MT2A/MT1F/MT1E/MT1H	6	geneontology_Biological_Process	0.0437956204379562
GO:0071276	GO:0071276	cellular response to cadmium ion	5/137	32/17913	4.14794268401003e-06	0.00266378621257178	0.00246467341336779	MT1X/MT1G/MT1F/MT1E/MT1H	5	geneontology_Biological_Process	0.0364963503649635
GO:0046686	GO:0046686	response to cadmium ion	6/137	57/17913	4.72302519959535e-06	0.00266378621257178	0.00246467341336779	MT1X/SLC30A1/MT1G/MT1F/MT1E/MT1H	6	geneontology_Biological_Process	0.0437956204379562
