Symbol	Description	Score	Functions	Links
TLNRD1		0.7074209043730239		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=59274
ZBTB45		0.6998490252880123		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=84878
SPSB1		0.6511471804181677		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=80176
ARRDC2		0.6445282050110692		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=27106
TOX2		0.62859564234434		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=84969
PIM3		0.6136568441145734		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=415116
MTA1		0.6037615576782233		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=9112
RPS6KA4		0.587494400616166		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=8986
TNFSF14		0.5798918518615888		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=8740
H1-10		0.5520927748578084		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=8971
NFKBIE		0.5392500329657687		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=4794
ODC1		0.49974793268479983		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=4953
KAT2A		0.4935314013234327		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=2648
MARCKSL1		0.4812899569028533		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=65108
SERTAD1		0.006425404743142071		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=29950
RELB		0.0060599381537594366		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=5971
NFKB2		0.0050377633443981495		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=4791
ETS2		0.004639461285501689		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=2114
MAFF		0.004581466744648599		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=23764
CSRNP2		0.004357305997039873		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=81566
CDK18		0.004253148706540699		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=5129
JUNB		0.004132479857155702		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=3726
CSRNP1		0.004033310972229032		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=64651
EHD4		0.003928852789981063		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=30844
CDC42SE1		0.00390994348511392		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=56882
EGR1		0.0038852554264799943		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=1958
RRAD		0.003855357565930806		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=6236
IRAK2		0.0037572030960633662		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=3656
IER2		0.003757010777321712		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=9592
DUSP6		0.003734298916868828		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=1848
HECA		0.0037202550189733286		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=51696
BFAR		0.0036895591577319475		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=51283
CCL20		0.003656627989117034		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=6364
TNFRSF10A		0.0036315358171120637		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=8797
