Gene 1	Gene 2	Weight	Network group	Network
SPSB1	MESDC1	0.009639652	Co-expression	Jiang-de Kok-2017
ARRDC2	SPSB1	0.0052714064	Co-expression	Jiang-de Kok-2017
NFKBIE	SPSB1	0.01203577	Co-expression	Jiang-de Kok-2017
SERTAD1	SPSB1	0.008820286	Co-expression	Jiang-de Kok-2017
SERTAD1	ARRDC2	0.0067080017	Co-expression	Jiang-de Kok-2017
SERTAD1	NFKBIE	0.015062247	Co-expression	Jiang-de Kok-2017
RELB	MESDC1	0.008818482	Co-expression	Jiang-de Kok-2017
RELB	SPSB1	0.006540315	Co-expression	Jiang-de Kok-2017
RELB	ARRDC2	0.0045812842	Co-expression	Jiang-de Kok-2017
RELB	NFKBIE	0.011203601	Co-expression	Jiang-de Kok-2017
NFKB2	RELB	0.0067145913	Co-expression	Jiang-de Kok-2017
ETS2	SPSB1	0.012207502	Co-expression	Jiang-de Kok-2017
ETS2	ARRDC2	0.009609235	Co-expression	Jiang-de Kok-2017
MAFF	SPSB1	0.0050336155	Co-expression	Jiang-de Kok-2017
MAFF	PIM3	0.003362024	Co-expression	Jiang-de Kok-2017
MAFF	NFKBIE	0.008604257	Co-expression	Jiang-de Kok-2017
MAFF	RELB	0.0045543713	Co-expression	Jiang-de Kok-2017
MAFF	ETS2	0.009348802	Co-expression	Jiang-de Kok-2017
CSRNP2	MESDC1	0.01108653	Co-expression	Jiang-de Kok-2017
CSRNP2	SPSB1	0.007886878	Co-expression	Jiang-de Kok-2017
CSRNP2	RELB	0.006942539	Co-expression	Jiang-de Kok-2017
CDK18	MTA1	0.022791356	Co-expression	Jiang-de Kok-2017
CDK18	H1FX	0.017107885	Co-expression	Jiang-de Kok-2017
JUNB	SPSB1	0.007254426	Co-expression	Jiang-de Kok-2017
JUNB	ARRDC2	0.0050061042	Co-expression	Jiang-de Kok-2017
JUNB	NFKBIE	0.013226119	Co-expression	Jiang-de Kok-2017
JUNB	RELB	0.0063232104	Co-expression	Jiang-de Kok-2017
JUNB	ETS2	0.012230858	Co-expression	Jiang-de Kok-2017
JUNB	MAFF	0.0058254665	Co-expression	Jiang-de Kok-2017
CSRNP1	NFKBIE	0.011024748	Co-expression	Jiang-de Kok-2017
CSRNP1	SERTAD1	0.008272621	Co-expression	Jiang-de Kok-2017
CSRNP1	ETS2	0.011614611	Co-expression	Jiang-de Kok-2017
CSRNP1	MAFF	0.0051230663	Co-expression	Jiang-de Kok-2017
CSRNP1	JUNB	0.0074644843	Co-expression	Jiang-de Kok-2017
EHD4	MESDC1	0.0072077317	Co-expression	Jiang-de Kok-2017
EHD4	SPSB1	0.0048970524	Co-expression	Jiang-de Kok-2017
EHD4	ARRDC2	0.0035606667	Co-expression	Jiang-de Kok-2017
EHD4	RELB	0.0045462186	Co-expression	Jiang-de Kok-2017
