Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
quercetin HL60 DOWN	1/24	0.00119997411857823	0.0402327135224907	0	0	19976	134347.694878478	H1FX
BAS-012416453 PC3 DOWN	1/36	0.00179996571782723	0.0402327135224907	0	0	19964	126172.233642502	H1FX
LY-294002 PC3 UP	1/45	0.00224996011970944	0.0402327135224907	0	0	19955	121662.497824492	H1FX
acacetin HL60 DOWN	1/54	0.00269995496285634	0.0402327135224907	0	0	19946	117971.019640618	H1FX
Belinostat CTD 00004313	1/64	0.0031999496455548	0.0402327135224907	0	0	19936	114524.748408164	H1FX
5109870 MCF7 DOWN	1/68	0.00339994762161893	0.0402327135224907	0	0	19932	113293.393380501	H1FX
alexidine HL60 UP	1/100	0.00499993307105565	0.0483681234364844	0	0	19900	105436.781973287	H1FX
lomustine PC3 DOWN	1/109	0.00544992940129402	0.0483681234364844	0	0	19891	103674.927849591	H1FX
pyrvinium HL60 UP	1/137	0.00684991887976516	0.0491925326503972	0	0	19863	98987.6273526902	H1FX
ellipticine HL60 DOWN	1/161	0.00804991074470464	0.0491925326503972	0	0	19839	95665.5283262376	H1FX
parthenolide HL60 DOWN	1/181	0.00904990447078636	0.0491925326503972	0	0	19819	93248.4163458603	H1FX
Periodate-oxidized adenosine CTD 00001296	1/216	0.0107998944029861	0.0491925326503972	0	0	19784	89586.2831607823	H1FX
midecamycin HL60 DOWN	1/238	0.0118998885810622	0.0491925326503972	0	0	19762	87569.8929913298	H1FX
valproic acid HL60 UP	1/289	0.0144498763000578	0.0491925326503972	0	0	19711	83516.8754363716	H1FX
luteolin HL60 DOWN	1/293	0.0146498754016247	0.0491925326503972	0	0	19707	83229.0352008465	H1FX
digoxigenin PC3 UP	1/296	0.0147998747326962	0.0491925326503972	0	0	19704	83015.6428226705	H1FX
8-azaguanine PC3 UP	1/323	0.0161498689111766	0.0491925326503972	0	0	19677	81184.2195251732	H1FX
cicloheximide MCF7 UP	1/354	0.0176998626413669	0.0491925326503972	0	0	19646	79255.8617626126	H1FX
MG-262 PC3 DOWN	1/360	0.0179998614753795	0.0491925326503972	0	0	19640	78901.5635004627	H1FX
cicloheximide PC3 UP	1/378	0.0188998580604784	0.0491925326503972	0	0	19622	77871.8862117313	H1FX
daunorubicin PC3 DOWN	1/381	0.0190498575030281	0.0491925326503972	0	0	19619	77704.8881063251	H1FX
piperlongumine HL60 DOWN	1/389	0.0194498560312618	0.0491925326503972	0	0	19611	77265.6850460807	H1FX
CUPRIC OXIDE CTD 00001471	1/393	0.0196498553075688	0.0491925326503972	0	0	19607	77049.3397589883	H1FX
MG-262 MCF7 DOWN	1/407	0.0203498528114596	0.0491925326503972	0	0	19593	76308.4965882475	H1FX
lanatoside C PC3 UP	1/411	0.020549852108737	0.0491925326503972	0	0	19589	76101.3361636481	H1FX
trichostatin A PC3 UP	1/415	0.0207498514132993	0.0491925326503972	0	0	19585	75896.109142567	H1FX
ouabain PC3 UP	1/416	0.0207998512420466	0.0491925326503972	0	0	19584	75845.1001537464	H1FX
vorinostat PC3 UP	1/416	0.0207998512420466	0.0491925326503972	0	0	19584	75845.1001537464	H1FX
MS-275 PC3 UP	1/431	0.0215498486832798	0.0491925326503972	0	0	19569	75093.8161076383	H1FX
lanatoside C HL60 UP	1/432	0.0215998485137458	0.0491925326503972	0	0	19568	75044.6297530725	H1FX
strophanthidin PC3 UP	1/459	0.0229498440971436	0.0491925326503972	0	0	19541	73756.4128547648	H1FX
digitoxigenin PC3 UP	1/483	0.0241498403445456	0.0491925326503972	0	0	19517	72671.1105606658	H1FX
digoxin PC3 UP	1/483	0.0241498403445456	0.0491925326503972	0	0	19517	72671.1105606658	H1FX
thapsigargin PC3 UP	1/484	0.0241998401928837	0.0491925326503972	0	0	19516	72627.0229120934	H1FX
cicloheximide HL60 UP	1/485	0.0242498400389282	0.0491925326503972	0	0	19515	72583.0227089579	H1FX
lycorine PC3 UP	1/508	0.0253998366007906	0.0493159009922645	0	0	19492	71594.3603910484	H1FX
cephaeline PC3 UP	1/514	0.0256998357283632	0.0493159009922645	0	0	19486	71343.5204508746	H1FX
curcumin CTD 00000663	1/528	0.0263998337200296	0.0493260051084764	0	0	19472	70768.9894311165	H1FX
POTASSIUM DICHROMATE CTD 00006598	1/556	0.027799829848465	0.0506099466472056	0	0	19444	69662.5122666139	H1FX
NICKEL SULFATE CTD 00001417	1/576	0.0287998271856999	0.0511196932546173	0	0	19424	68904.4235730991	H1FX
methotrexate CTD 00006299	1/619	0.0309498217475378	0.0535960327823216	0	0	19381	67356.4955884493	H1FX
scriptaid PC3 UP	1/664	0.0331998164364166	0.0550659754054328	0	0	19336	65843.1585830581	H1FX
trichostatin A HL60 UP	1/667	0.0333498160906142	0.0550659754054328	0	0	19333	65745.7915080867	H1FX
anisomycin MCF7 UP	1/718	0.0358998105137441	0.0573519217686788	0	0	19282	64151.662531531	H1FX
vorinostat HL60 UP	1/727	0.0363498095716979	0.0573519217686788	0	0	19273	63881.6365650805	H1FX
metronidazole PC3 DOWN	1/745	0.0372498077260964	0.0574942684468009	0	0	19255	63351.0390882738	H1FX
cephaeline HL60 UP	1/767	0.0383498055374328	0.0577611686846538	0	0	19233	62718.9249728642	H1FX
ampyrone HL60 DOWN	1/781	0.0390498041811744	0.0577611686846538	0	0	19219	62325.62984262	H1FX
emetine HL60 UP	1/849	0.042449797946203	0.0608369706224551	0	0	19151	60506.303796847	H1FX
lycorine HL60 UP	1/862	0.0430997968245953	0.0608369706224551	0	0	19138	60174.4076281095	H1FX
trichostatin A MCF7 UP	1/874	0.0436997957992283	0.0608369706224551	0	0	19126	59872.2570369423	H1FX
anisomycin PC3 UP	1/899	0.0449497937292568	0.0613737568226391	0	0	19101	59255.2961521977	H1FX
cimetidine PC3 DOWN	1/953	0.0476497894850349	0.0638327368573109	0	0	19047	57976.7264919927	H1FX
chlortetracycline HL60 DOWN	1/1050	0.0524997825934827	0.069027491928468	0	0	18950	55844.6314463999	H1FX
anisomycin HL60 UP	1/1142	0.0570997768348664	0.0737106210050093	0	0	18858	53989.6067222968	H1FX
Bisphenol A CTD 00000312	1/1262	0.0630997702988353	0.0800014944860233	0	0	18738	51773.8088493338	H1FX
chlorzoxazone HL60 DOWN	1/1286	0.0642997691044983	0.0800926948494628	0	0	18714	51354.9445521866	H1FX
glibenclamide HL60 DOWN	1/1333	0.0666497668820518	0.0806870071699677	0	0	18667	50555.9057280439	H1FX
TERT-BUTYL HYDROPEROXIDE CTD 00007349	1/1341	0.0670497665215224	0.0806870071699677	0	0	18659	50422.5917052578	H1FX
clindamycin HL60 DOWN	1/1626	0.0812997558372566	0.096204711074087	0	0	18374	46111.6157693224	H1FX
atrazine CTD 00005450	1/2968	0.148399742420319	0.1727275690466	0	0	17032	32494.4276892493	H1FX
7646-79-9 CTD 00000928	1/3094	0.15469974306862	0.177055965687687	0	0	16906	31551.1467949634	H1FX
quercetin CTD 00006679	1/3158	0.157899743488654	0.177055965687687	0	0	16842	31086.8790908788	H1FX
formaldehyde CTD 00006001	1/3192	0.159599743718479	0.177055965687687	0	0	16808	30844.1288452578	H1FX
0175029-0000 PC3 DOWN	1/3326	0.166299744783302	0.181650490455607	0	0	16674	29912.5461894832	H1FX
METHYL METHANESULFONATE CTD 00006307	1/3864	0.193199750997743	0.2078360957703	0	0	16136	26528.0785044386	H1FX
acetaminophen CTD 00005295	1/4135	0.206749755035739	0.219093023993097	0	0	15865	25007.1448510574	H1FX
Retinoic acid CTD 00006918	1/4258	0.212899757063552	0.222292393404591	0	0	15742	24351.8326378257	H1FX
cyclosporin A CTD 00007121	1/4825	0.241249767404338	0.248242514285623	0	0	15175	21577.6739813649	H1FX
Copper sulfate CTD 00007279	1/6016	0.300799793010903	0.305096932911058	0	0	13984	16799.1242844942	H1FX
VALPROIC ACID CTD 00006977	1/8312	0.415599847245258	0.415599847245258	0	0	11688	10262.4425428728	H1FX
